證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0050,元大台灣50,"6,903,171","8,921","821,124,932",119.10,119.45,118.45,119.00,<p style= color:red>+</p>,0.70,118.95,196,119.00,393,0.00
0051,元大中型100,"29,337",190,"1,584,697",53.85,54.15,53.85,54.15,<p style= color:red>+</p>,0.45,54.05,45,54.20,3,0.00
0052,富邦科技,"457,418",494,"47,849,437",105.05,105.30,104.10,105.05,<p style= color:red>+</p>,0.85,105.05,20,105.10,1,0.00
0053,元大電子,"25,293","1,012","1,467,013",58.05,58.05,57.95,58.00,<p style= color:red>+</p>,0.50,58.20,14,58.45,25,0.00
0055,元大MSCI金融,"373,503",255,"8,363,243",22.43,22.43,22.34,22.40,<p style= color:red>+</p>,0.04,22.38,4,22.40,161,0.00
0056,元大高股息,"16,136,394","10,764","430,082,824",26.60,26.68,26.59,26.67,<p style= color:red>+</p>,0.13,26.67,7,26.68,243,0.00
0057,富邦摩台,"6,024",886,"518,775",86.20,86.40,86.00,86.40,<p style= color:red>+</p>,0.40,86.45,20,86.80,20,0.00
0061,元大寶滬深,"194,914","1,014","3,878,668",20.00,20.00,19.80,19.99,<p style= color:red>+</p>,0.03,19.90,5,19.99,66,0.00
006203,元大MSCI台灣,"5,263",821,"300,663",57.40,57.40,57.20,57.20,<p style= color:red>+</p>,0.40,57.15,1,57.40,1,0.00
006204,永豐臺灣加權,"25,184",850,"1,931,902",76.55,76.75,76.55,76.75,<p style= color:red>+</p>,0.25,76.75,10,77.00,1,0.00
006205,富邦上証,"2,215,879",782,"73,921,700",33.58,33.59,33.21,33.34,<p style= color:green>-</p>,0.24,33.34,197,33.35,3,0.00
006206,元大上證50,"86,431","1,085","2,774,340",32.18,32.39,31.89,32.09,<p style= color:green>-</p>,0.12,32.03,33,32.11,2,0.00
006207,FH滬深,"319,259",23,"8,364,248",26.22,26.35,26.04,26.18,<p style= color:green>-</p>,0.02,26.18,46,26.26,143,0.00
